Timestamp,Actual Price,Low 95%,High 95%,Width,Hit
2026-04-30 00:00:00 UTC,"$76,248.74","$75,077.87","$76,373.90","$1,296.04",YES
2026-04-29 23:00:00 UTC,"$75,780.00","$75,262.07","$76,477.09","$1,215.02",YES
2026-04-29 22:00:00 UTC,"$75,927.38","$75,296.62","$76,469.35","$1,172.73",YES
2026-04-29 21:00:00 UTC,"$75,933.93","$74,895.35","$76,274.95","$1,379.60",YES
2026-04-29 20:00:00 UTC,"$75,676.79","$74,855.43","$76,094.69","$1,239.26",YES
2026-04-29 19:00:00 UTC,"$75,563.86","$74,841.20","$76,038.74","$1,197.54",YES
2026-04-29 18:00:00 UTC,"$75,513.91","$75,495.02","$76,642.24","$1,147.22",YES
2026-04-29 17:00:00 UTC,"$76,184.01","$75,163.65","$76,234.24","$1,070.58",YES
2026-04-29 16:00:00 UTC,"$75,803.54","$75,328.26","$76,464.65","$1,136.39",YES
2026-04-29 15:00:00 UTC,"$75,924.25","$75,966.72","$77,166.02","$1,199.30",NO
2026-04-29 14:00:00 UTC,"$76,570.00","$76,177.22","$77,449.39","$1,272.17",YES
2026-04-29 13:00:00 UTC,"$76,783.43","$76,550.80","$77,860.45","$1,309.65",YES
2026-04-29 12:00:00 UTC,"$77,143.68","$76,957.96","$78,435.25","$1,477.29",YES
2026-04-29 11:00:00 UTC,"$77,590.03","$77,239.02","$78,163.93",$924.91,YES
2026-04-29 10:00:00 UTC,"$77,619.61","$77,161.63","$78,186.54","$1,024.92",YES
2026-04-29 09:00:00 UTC,"$77,642.00","$76,531.80","$77,614.31","$1,082.51",NO
2026-04-29 08:00:00 UTC,"$77,046.32","$76,482.07","$77,706.00","$1,223.93",YES
2026-04-29 07:00:00 UTC,"$77,053.64","$76,482.97","$77,770.15","$1,287.18",YES
2026-04-29 06:00:00 UTC,"$77,031.06","$76,680.29","$77,992.25","$1,311.96",YES
2026-04-29 05:00:00 UTC,"$77,288.38","$76,887.05","$77,734.63",$847.57,YES
2026-04-29 04:00:00 UTC,"$77,269.76","$76,502.14","$77,474.45",$972.30,YES
2026-04-29 03:00:00 UTC,"$76,994.78","$76,037.56","$77,015.13",$977.57,YES
2026-04-29 02:00:00 UTC,"$76,531.29","$76,101.10","$77,056.17",$955.08,YES
2026-04-29 01:00:00 UTC,"$76,571.00","$76,059.18","$76,971.62",$912.45,YES
2026-04-29 00:00:00 UTC,"$76,512.00","$75,888.10","$76,829.28",$941.18,YES
2026-04-28 23:00:00 UTC,"$76,342.77","$75,762.27","$76,676.78",$914.50,YES
2026-04-28 22:00:00 UTC,"$76,242.17","$75,909.30","$76,821.67",$912.37,YES
2026-04-28 21:00:00 UTC,"$76,357.15","$76,006.71","$76,870.00",$863.30,YES
